province_name,year,total_light,mean_light,max_light,std_light,pixel_count,lit_pixels,population,area_km2,latitude,longitude,national_gdp,light_share,population_share,area_share,combined_weight,final_weight,allocated_gdp,gdp_per_capita,gdp_per_km2
Vientiane Capital,2012,9028.93,1.3761514,4.69,1.4672652,6561,6561,841973.583569389,3920.0,17.9667,102.6,10192846339,0.15097412,0.1432891248848258,0.01650394284246734,0.1352216065517117,0.13522160300034666,1.378293021095795e9,1636.978936147593,351605.3625244375
Phongsaly,2012,2953.88,0.10853069,0.7,0.042522922,27225,27195,158002.81521421392,16270.0,21.68,102.1,10192846339,0.04939228,0.026889305749243538,0.06849978317524072,0.04455213758480239,0.04455213641471643,4.5411308054937094e8,2874.0822113435293,27911.06825749053
Luang Namtha,2012,1495.0798,0.09657515,4.69,0.110889696,15500,15457,156017.8931413949,9325.0,20.93,101.4,10192846339,0.02499946,0.026551506853495437,0.039260017093369376,0.02689112988864702,0.026891129182397323,2.740971476383746e8,1756.8314897700075,29393.79599339138
Oudomxay,2012,2724.7495,0.106443845,4.69,0.09135795,25600,25595,273079.4713259073,15370.0,20.69,101.98,10192846339,0.045560956,0.04647333269580589,0.06471061262467423,0.04774963467197823,0.04774963341791545,4.867046761723916e8,1782.282182579491,31665.886543421704
Bokeo,2012,2080.13,0.20403431,4.69,0.5106028,10201,10180,159032.56011782304,6196.0,20.23,100.42,10192846339,0.03478217,0.027064550256876718,0.026086334145899906,0.0315973012412868,0.03159730041143753,3.220664278210042e8,2025.160304169119,51979.73334748293
Luang Prabang,2012,3404.9597,0.120640576,4.69,0.23002003,28224,28217,383392.66954728455,16875.0,19.8856,102.1348,10192846339,0.056934856,0.06524670272171337,0.07104694782312151,0.06083961912583804,0.06083961752798913,6.201288727863243e8,1617.4771247415376,36748.37764659699
Huaphanh,2012,2734.0298,0.10449986,1.96,0.06950543,27390,25597,256897.38525013908,16500.0,20.27,104.0,10192846339,0.045716133,0.043719425687490994,0.06946812676038548,0.04749232016348435,0.0474923189161795,4.8408190899540067e8,1884.3395720982278,29338.297514872767
Xayabury,2012,3067.13,0.11267514,4.69,0.18892081,27225,27203,338551.71755072527,16389.0,18.1167,101.7167,10192846339,0.051285952,0.05761555977854532,0.06900079572581562,0.05495631890392653,0.05495631746059247,5.601612992331218e8,1654.581176801127,34179.10178980546
Xiangkhouang,2012,2809.0098,0.10648659,4.69,0.24493276,26569,26203,217208.70861612074,15880.0,19.45,103.2,10192846339,0.046969887,0.036965109573894483,0.06685780926999524,0.04595724592068315,0.04595724471369441,4.6843513353050715e8,2156.6130405866284,29498.434101417326
Vientiane Province,2012,2474.9893,0.09549675,3.1,0.07500865,25921,25907,372030.8548737557,15610.0,18.5,102.0,10192846339,0.04138468,0.06331312129654346,0.0657210581048253,0.0503968491998442,0.05039684787625684,5.136873263726444e8,1380.7653844919882,32907.580164807456
