province_name,start_year,end_year,start_gdp_millions,end_gdp_millions,start_light,end_light,gdp_cagr,light_cagr,avg_gdp_per_capita,correlation_gdp_light
Sekong,2012,2022,173.72260116551817,326.41771563761694,866.4599,3863.9702,6.510332332180591,16.12574992849558,2580.034883103337,0.8880757667187984
Xaisomboun,2012,2022,193.70037770180218,356.8638731644905,1167.7897,4782.58,6.300966138088926,15.14093784503836,4042.2536451091264,0.8562765365470075
Attapeu,2012,2022,255.84656291728268,446.2278518665015,1439.6599,5512.16,5.72013491493315,14.368438595982603,3005.3733116604944,0.8334819531112946
Salavan,2012,2022,359.81256768934304,613.1357541856863,1276.7499,5195.6904,5.47463505015966,15.067782466742297,1497.754302581567,0.8414519734281347
Luang Namtha,2012,2022,274.0971476383746,465.26001975372327,1495.0798,5510.9,5.4336209352116915,13.934648093856161,2637.0179476726476,0.8745714295645347
Bolikhamxay,2012,2022,609.2136064390812,996.7186305584082,4097.26,13870.359,5.046188280649666,12.969035656307959,3708.599682359218,0.7134265012545833
Xiangkhouang,2012,2022,468.43513353050713,762.1759712160801,2809.0098,9544.451,4.988221595168696,13.010753777115468,3235.370625986307,0.8474179933370168
Vientiane Province,2012,2022,513.6873263726444,829.2195935978359,2474.9893,8496.99,4.905213132450781,13.127757687249474,2054.503499535682,0.8662792169313116
Xayabury,2012,2022,560.1612992331218,903.6347782997752,3067.13,10373.351,4.898187361623685,12.958440697624418,2412.7506997199102,0.8206723657230877
Huaphanh,2012,2022,484.0819089954007,771.2455419024631,2734.0298,9028.99,4.7676931494762265,12.68953659572185,2756.8974761867285,0.8466777729477486
Bokeo,2012,2022,322.0664278210042,504.9052945273824,2080.13,6640.1094,4.598738508835121,12.307426765074169,3182.5300097098498,0.572203252335556
Oudomxay,2012,2022,486.7046761723916,758.3071241591738,2724.7495,8669.34,4.534094523400611,12.27057462291572,2505.2509460914985,0.883635199383171
Luang Prabang,2012,2022,620.1288727863242,956.4267567939781,3404.9597,10651.791,4.428003849648809,12.080760003995694,2258.727457087996,0.8530555929469187
Phongsaly,2012,2022,454.1130805493709,689.6354797278783,2953.88,8989.621,4.266683187417497,11.772472097043995,4060.0234948922284,0.8902931109744756
Champasack,2012,2022,674.1976885953017,990.5140526265001,2810.7896,7905.69,3.921962186859429,10.894790652731423,1527.7346588555033,0.6673700726239907
Savannakhet,2012,2022,1415.5999788965537,2058.8371826141242,8548.65,24236.62,3.8169212664085572,10.983252226732043,2283.9333972422432,0.607156724192611
Khammouane,2012,2022,948.9840614001844,1329.7213202916018,6824.24,18583.15,3.4308684879048146,10.536701984687769,3569.565279540657,0.515329048141521
Vientiane Capital,2012,2022,1378.293021095795,1709.5382630767806,9028.93,19963.182,2.177136353902398,8.257837242355803,2253.609936851213,0.23156875560737197
