province_name,year,total_light,mean_light,max_light,std_light,pixel_count,lit_pixels,population,area_km2,latitude,longitude
Vientiane Capital,2012,9028.93,1.3761514,4.69,1.4672652,6561,6561,841973.583569389,3920.0,17.9667,102.6
Phongsaly,2012,2953.88,0.10853069,0.7,0.042522922,27225,27195,158002.81521421392,16270.0,21.68,102.1
Luang Namtha,2012,1495.0798,0.09657515,4.69,0.110889696,15500,15457,156017.8931413949,9325.0,20.93,101.4
Oudomxay,2012,2724.7495,0.106443845,4.69,0.09135795,25600,25595,273079.4713259073,15370.0,20.69,101.98
Bokeo,2012,2080.13,0.20403431,4.69,0.5106028,10201,10180,159032.56011782304,6196.0,20.23,100.42
Luang Prabang,2012,3404.9597,0.120640576,4.69,0.23002003,28224,28217,383392.66954728455,16875.0,19.8856,102.1348
Huaphanh,2012,2734.0298,0.10449986,1.96,0.06950543,27390,25597,256897.38525013908,16500.0,20.27,104.0
Xayabury,2012,3067.13,0.11267514,4.69,0.18892081,27225,27203,338551.71755072527,16389.0,18.1167,101.7167
Xiangkhouang,2012,2809.0098,0.10648659,4.69,0.24493276,26569,26203,217208.70861612074,15880.0,19.45,103.2
Vientiane Province,2012,2474.9893,0.09549675,3.1,0.07500865,25921,25907,372030.8548737557,15610.0,18.5,102.0
Bolikhamxay,2012,4097.26,0.16630514,4.69,0.2843571,24649,24601,242966.5345843302,14863.0,18.2667,103.15
Khammouane,2012,6824.24,0.2509373,4.69,0.5702332,27225,27144,348028.9215084246,16315.0,17.4167,104.8333
Savannakhet,2012,8548.65,0.23585737,4.69,0.5543848,36290,36172,860810.8136164459,21774.0,16.5563,104.7581
Salavan,2012,1276.7499,0.07464627,4.69,0.21090958,17689,16539,352369.82890381146,10691.0,15.7167,106.4167
Sekong,2012,866.4599,0.07107373,4.69,0.21725748,12769,11636,100353.967123454,7665.0,15.3667,106.7
Champasack,2012,2810.7896,0.11166334,4.69,0.29677954,25921,24636,616091.9372737325,15415.0,14.8167,105.8667
Attapeu,2012,1439.6599,0.087236255,4.69,0.23685916,17161,15967,123632.41592288729,10320.0,14.8,106.8333
Xaisomboun,2012,1167.7897,0.08551477,4.69,0.11647495,13689,13611,75604.58099188247,8141.0,18.65,103.25
Vientiane Capital,2013,11539.9,1.7588631,5.94,1.7929516,6561,6561,854603.1873229296,3920.0,17.9667,102.6
Phongsaly,2013,5430.6895,0.19949634,4.68,0.071285434,27225,27220,160372.85744242708,16270.0,21.68,102.1
Luang Namtha,2013,3421.3896,0.22073482,5.94,0.25213552,15500,15500,158358.1615385158,9325.0,20.93,101.4
Oudomxay,2013,4447.67,0.17374389,4.21,0.10302663,25600,25572,277175.66339579585,15370.0,20.69,101.98
Bokeo,2013,3695.4597,0.36226445,5.94,0.6164782,10201,10201,161418.04851959037,6196.0,20.23,100.42
Luang Prabang,2013,4801.08,0.17011233,5.94,0.28564253,28224,28222,389143.55959049374,16875.0,19.8856,102.1348
Huaphanh,2013,5159.0996,0.18839145,5.94,0.100375384,27390,27293,260750.84602889113,16500.0,20.27,104.0
Xayabury,2013,4609.34,0.16930541,5.94,0.16708183,27225,27225,343629.9933139861,16389.0,18.1167,101.7167
Xiangkhouang,2013,4494.71,0.16917758,5.94,0.32909897,26569,26567,220466.83924536253,15880.0,19.45,103.2
Vientiane Province,2013,3986.2197,0.15378341,2.09,0.06510694,25921,25919,377611.317696862,15610.0,18.5,102.0
Bolikhamxay,2013,5382.46,0.21836424,5.94,0.3151559,24649,24649,246611.0326030951,14863.0,18.2667,103.15
Khammouane,2013,8079.6797,0.29682878,5.94,0.67138565,27225,27199,353249.35533105093,16315.0,17.4167,104.8333
Savannakhet,2013,10368.27,0.28572172,5.94,0.65458053,36290,36288,873722.9758206924,21774.0,16.5563,104.7581
Salavan,2013,1971.7798,0.11174723,5.94,0.21581827,17689,17579,357655.37633736857,10691.0,15.7167,106.4167
Sekong,2013,1378.0598,0.10821043,4.61,0.15692873,12769,12688,101859.27663030579,7665.0,15.3667,106.7
Champasack,2013,3738.19,0.14461082,5.94,0.33414802,25921,25776,625333.3163328384,15415.0,14.8167,105.8667
Attapeu,2013,2139.0698,0.12498947,5.94,0.281702,17161,17045,125486.90216173057,10320.0,14.8,106.8333
Xaisomboun,2013,1977.3899,0.144451,5.94,0.1604672,13689,13689,76738.6497067607,8141.0,18.65,103.25
Vientiane Capital,2014,13080.9795,1.9937478,7.29,2.224583,6561,6561,867422.2351327735,3920.0,17.9667,102.6
Phongsaly,2014,1625.0297,0.06522818,4.18,0.08504578,27225,23736,162778.4503040635,16270.0,21.68,102.1
Luang Namtha,2014,607.92,0.056830887,7.29,0.2421039,15500,9180,160733.53396159352,9325.0,20.93,101.4
Oudomxay,2014,932.4899,0.050158136,5.24,0.13994946,25600,16328,281333.29834673274,15370.0,20.69,101.98
Bokeo,2014,2635.4897,0.2943366,7.29,0.93094236,10201,8489,163839.3192473842,6196.0,20.23,100.42
Luang Prabang,2014,1932.6698,0.087518446,7.29,0.31946188,28224,20258,394980.71298435115,16875.0,19.8856,102.1348
Huaphanh,2014,2673.6196,0.10121596,4.01,0.07710092,27390,25943,264662.10871932446,16500.0,20.27,104.0
Xayabury,2014,1916.2598,0.08282231,7.29,0.2466175,27225,21307,348784.4432136959,16389.0,18.1167,101.7167
Xiangkhouang,2014,3203.2498,0.12478087,7.29,0.38534364,26569,25101,223773.84183404295,15880.0,19.45,103.2
Vientiane Province,2014,1525.8397,0.068063155,4.81,0.12380671,25921,20970,383275.4874623149,15610.0,18.5,102.0
Bolikhamxay,2014,4466.1104,0.1854081,7.29,0.38362384,24649,23761,250310.1980921415,14863.0,18.2667,103.15
Khammouane,2014,6327.1,0.27872688,7.29,0.8549773,27225,21030,358548.0956610167,16315.0,17.4167,104.8333
Savannakhet,2014,8321.251,0.26840147,7.29,0.8543032,36290,29051,886828.8204580027,21774.0,16.5563,104.7581
Salavan,2014,1389.24,0.086789526,7.29,0.2391348,17689,15108,363020.2069824291,10691.0,15.7167,106.4167
Sekong,2014,977.81995,0.08363154,7.29,0.24132535,12769,11127,103387.16577976037,7665.0,15.3667,106.7
Champasack,2014,3979.9897,0.1581369,7.29,0.37605026,25921,24902,634713.316077831,15415.0,14.8167,105.8667
Attapeu,2014,1537.2098,0.117102906,7.29,0.40006027,17161,11940,127369.20569415652,10320.0,14.8,106.8333
Xaisomboun,2014,1274.2998,0.09528188,5.75,0.16129303,13689,13150,77889.72945236211,8141.0,18.65,103.25
Vientiane Capital,2015,13050.381,1.9890841,7.6,2.2015693,6561,6561,880433.5686597651,3920.0,17.9667,102.6
Phongsaly,2015,2822.5098,0.105058804,2.02,0.059828702,27225,26697,165220.12705862444,16270.0,21.68,102.1
Luang Namtha,2015,1652.7699,0.10776357,7.6,0.23107862,15500,15209,163144.53697101743,9325.0,20.93,101.4
Oudomxay,2015,2710.1797,0.10644853,7.6,0.17320104,25600,25344,285553.29782193375,15370.0,20.69,101.98
Bokeo,2015,3158.0298,0.3100972,7.6,0.8169134,10201,10176,166296.90903609496,6196.0,20.23,100.42
Luang Prabang,2015,3635.5596,0.12940237,7.6,0.2949503,28224,27985,400905.4236791164,16875.0,19.8856,102.1348
Huaphanh,2015,2474.3496,0.09371117,5.1,0.1565597,27390,25916,268632.04035011434,16500.0,20.27,104.0
Xayabury,2015,3607.5098,0.13270222,7.6,0.22350323,27225,27144,354016.2098619013,16389.0,18.1167,101.7167
Xiangkhouang,2015,3142.2495,0.12011198,7.6,0.37323263,26569,25836,227130.4494615536,15880.0,19.45,103.2
Vientiane Province,2015,2951.0298,0.11405828,2.05,0.06592137,25921,25811,389024.6197742496,15610.0,18.5,102.0
Bolikhamxay,2015,5245.62,0.21332331,7.6,0.41186285,24649,24526,254064.85106352362,14863.0,18.2667,103.15
Khammouane,2015,7432.68,0.2879433,7.6,0.78053284,27225,25168,363926.3170959319,16315.0,17.4167,104.8333
Savannakhet,2015,9631.38,0.2702635,7.6,0.8006502,36290,35144,900131.2527648727,21774.0,16.5563,104.7581
Salavan,2015,1251.2898,0.0787817,7.6,0.24679291,17689,15033,368465.5100871655,10691.0,15.7167,106.4167
Sekong,2015,882.0399,0.07936296,7.6,0.2607318,12769,10425,104937.97326645677,7665.0,15.3667,106.7
Champasack,2015,2966.21,0.12661502,7.6,0.48010582,25921,22307,644234.0158189983,15415.0,14.8167,105.8667
Attapeu,2015,1763.5698,0.112861246,7.6,0.42126355,17161,14813,129279.74377956887,10320.0,14.8,106.8333
Xaisomboun,2015,1546.6097,0.11408201,5.93,0.16557258,13689,13469,79058.07539414754,8141.0,18.65,103.25
Vientiane Capital,2016,13549.381,2.0651395,7.25,2.0745127,6561,6561,893640.0721896613,3920.0,17.9667,102.6
Phongsaly,2016,1941.3595,0.073452875,2.64,0.061888225,27225,25817,167698.42896450378,16270.0,21.68,102.1
Luang Namtha,2016,1070.6897,0.07103362,4.13,0.09937267,15500,14712,165591.70502558266,9325.0,20.93,101.4
Oudomxay,2016,1620.3499,0.07060656,7.25,0.19672902,25600,21693,289836.5972892627,15370.0,20.69,101.98
Bokeo,2016,2884.4402,0.28715184,7.25,0.7893206,10201,9944,168791.36267163637,6196.0,20.23,100.42
Luang Prabang,2016,2204.14,0.092034735,7.25,0.37428877,28224,22155,406919.00503430306,16875.0,19.8856,102.1348
Huaphanh,2016,1922.9296,0.07507045,7.25,0.15663011,27390,24646,272661.520955366,16500.0,20.27,104.0
Xayabury,2016,2831.4297,0.10842574,7.25,0.24580412,27225,25474,359326.45300982974,16389.0,18.1167,101.7167
Xiangkhouang,2016,2062.0796,0.087476335,7.25,0.37574637,26569,22070,230537.40620347683,15880.0,19.45,103.2
Vientiane Province,2016,1832.7997,0.07509012,3.46,0.07898841,25921,23561,394859.9890708633,15610.0,18.5,102.0
Bolikhamxay,2016,4306.42,0.1792176,7.25,0.32421237,24649,23588,257875.82382947643,14863.0,18.2667,103.15
Khammouane,2016,7469.0103,0.28960878,7.25,0.8360396,27225,24832,369385.2118523708,16315.0,17.4167,104.8333
Savannakhet,2016,10227.15,0.3056439,7.25,0.84672177,36290,32443,913633.2215563457,21774.0,16.5563,104.7581
Salavan,2016,925.5299,0.07418483,7.25,0.2246132,17689,11296,373992.4927384729,10691.0,15.7167,106.4167
Sekong,2016,658.1,0.077826396,7.25,0.30020896,12769,7595,106512.04286545361,7665.0,15.3667,106.7
Champasack,2016,2311.9397,0.17377779,7.25,0.6418718,25921,12116,653897.5260562833,15415.0,14.8167,105.8667
Attapeu,2016,1539.36,0.13299006,7.25,0.4458697,17161,10773,131218.93993626238,10320.0,14.8,106.8333
Xaisomboun,2016,847.8699,0.06755397,4.6,0.1235018,13689,11879,80243.94652505973,8141.0,18.65,103.25
Vientiane Capital,2017,16515.6,2.5172381,8.56,2.4194415,6561,6561,907044.6732725062,3920.0,17.9667,102.6
Phongsaly,2017,10632.289,0.39053404,1.2,0.090192154,27225,27221,170213.9053989713,16270.0,21.68,102.1
Luang Namtha,2017,5285.66,0.34101033,5.53,0.113063656,15500,15499,168075.58060096638,9325.0,20.93,101.4
Oudomxay,2017,9050.819,0.35354763,8.56,0.26249102,25600,25600,294184.1462486016,15370.0,20.69,101.98
Bokeo,2017,5128.81,0.50277525,8.56,0.6891227,10201,10201,171323.2331117109,6196.0,20.23,100.42
Luang Prabang,2017,9748.84,0.34540957,8.56,0.36734402,28224,28224,413022.7901098176,16875.0,19.8856,102.1348
Huaphanh,2017,8949.99,0.3268209,3.47,0.10966432,27390,27330,276751.44376969646,16500.0,20.27,104.0
Xayabury,2017,8639.75,0.3173462,8.56,0.25622734,27225,27225,364716.3498049772,16389.0,18.1167,101.7167
Xiangkhouang,2017,8599.09,0.32365125,8.56,0.37797824,26569,26569,233995.46729652898,15880.0,19.45,103.2
Vientiane Province,2017,7488.39,0.2888928,3.45,0.10493348,25921,25921,400782.8889069262,15610.0,18.5,102.0
Bolikhamxay,2017,11494.62,0.4663321,8.56,0.58539367,24649,24649,261743.96118691858,14863.0,18.2667,103.15
Khammouane,2017,15142.42,0.5561954,8.56,0.9021502,27225,27225,374925.9900301564,16315.0,17.4167,104.8333
Savannakhet,2017,20211.88,0.55695456,8.56,0.91534203,36290,36290,927337.7198796908,21774.0,16.5563,104.7581
Salavan,2017,4949.55,0.27980947,8.56,0.23500907,17689,17689,379602.38012955,10691.0,15.7167,106.4167
Sekong,2017,3548.69,0.27791446,8.56,0.26744577,12769,12769,108109.7235084354,7665.0,15.3667,106.7
Champasack,2017,8276.4795,0.3192963,8.56,0.4851364,25921,25921,663705.9889471275,15415.0,14.8167,105.8667
Attapeu,2017,5083.63,0.29623157,8.56,0.38795432,17161,17161,133187.2240353063,10320.0,14.8,106.8333
Xaisomboun,2017,4103.2305,0.29974654,8.56,0.17738475,13689,13689,81447.60572293562,8141.0,18.65,103.25
Vientiane Capital,2018,18648.762,2.8423657,10.6,2.9923768,6561,6561,920650.3433715937,3920.0,17.9667,102.6
